player_uid,player_name,team_code,school_name,conference,season,throws,class_year,production_rank,draft_value_score,reach_score,stuff_score,command_score,risk_score,pitch_count,avg_fb_velo,max_fb_velo,avg_ivb,avg_hb,extension,avg_spin,csw_pct,whiff_pct,zone_pct,arsenal_count,trend_delta,data_completeness_score,one_season_only_flag,missing_critical_count,export_ts
p_1000369340,Jack Fenton,AKR_ZIP,Akron,MAC,2025,Right,Unknown,432,42.18686140828827,50.8235837891893,46.02348862067679,42.679085144890834,50.15,50,90.49549212121212,92.97936,10.562369200000001,7.098416200000002,5.7666086,2214.59053044,24,17.391304347826086,50,5,0,28,TRUE,36,2026-05-08 21:25:59 UTC
p_1000257737,Caylon Dygert,ARL_MAV,UT Arlington,WAC,2025,Right,Unknown,433,42.12826251206069,54.984091317468874,46.05566697209443,32.47331376599579,50.15,79,90.85274068181819,93.25411,9.45107987341772,9.955317468354428,6.037913164556962,2171.9589174177213,22.78481012658228,13.953488372093023,40.50632911392405,5,0,36.70886075949367,TRUE,50,2026-05-08 21:25:59 UTC
p_1000303766,Jared Schaeffer,AKR_ZIP,Akron,MAC,2025,Right,Unknown,434,41.97130358383083,44.66792200568209,39.14835189739286,73.52236622097118,42.65,72,89.80912085714286,92.5858,8.877827083333333,7.206516805555555,5.529834999999999,2177.341322416667,23.61111111111111,18.75,58.333333333333336,5,0,47.22222222222222,FALSE,38,2026-05-08 21:25:59 UTC
p_808860,Aaron Savary,IOW_HAW,Iowa,Big Ten,2025,Right,Unknown,435,41.95536668276847,57.34358174552981,31.548785310958586,74.1714694423583,50.15,82,88.70528722222222,92.98627,3.314271341463415,0.6156039024390242,6.619153658536583,2233.2000634999995,28.048780487804876,21.21212121212121,46.34146341463415,6,0,21.951219512195124,TRUE,64,2026-05-08 21:25:59 UTC
p_1000107414,Cade McGarrh,ABI_WIL,Abilene Christian,WAC,2025,Right,Unknown,436,41.8664591016561,64.03959310051945,34.046423017616824,44.62926671777253,42.65,82,90.44683545454545,94.94122,8.039165731707316,7.6904871951219524,6.123081341463413,1979.8424385243902,26.829268292682926,22.5,37.80487804878049,5,0,29.268292682926827,FALSE,58,2026-05-08 21:25:59 UTC
p_702595,David Lally,MIC_WOL,Michigan,Big Ten,2025,Right,Unknown,437,41.860299756429484,53.068231484704974,43.966720070702564,37.12039134287641,42.65,70,90.85893902439025,94.16649,6.423920857142858,6.380236571428572,5.735020142857143,2225.7558303285714,22.857142857142858,10.344827586206897,41.42857142857143,5,0,34.28571428571429,FALSE,46,2026-05-08 21:25:59 UTC
p_1000298955,Max Haug,GEO_COL,Georgia State,Sun Belt,2025,Right,Unknown,438,41.832591940078565,45.50329853046404,33.055590643075945,95.95761421918786,50.15,54,89.968796875,92.32718,7.770304629629631,8.91014962962963,6.019793888888888,2002.6405785370368,33.333333333333336,20,51.851851851851855,4,0,22.222222222222214,TRUE,42,2026-05-08 21:25:59 UTC
p_1000107866,Jack Frankel,LIB_FLA,Liberty,CUSA,2025,Right,Unknown,439,41.731635204025174,43.177244331406314,37.573421285642084,80.65259363474615,42.65,54,87.94040999999999,96.94566,10.206978703703703,13.223855740740744,5.443171296296297,2156.8125267777777,33.333333333333336,8.695652173913043,46.2962962962963,6,0,29.629629629629633,FALSE,38,2026-05-08 21:25:59 UTC
p_1000072045,Sawyer Pruitt,LOU_CAJ,Louisiana,Sun Belt,2026,Right,Unknown,440,41.72925527386077,61.562190623529645,44.33773100711668,20.190820347113696,50.15,70,89.71021931818181,93.33541,11.104052714285714,0.43364742857142846,6.149805714285715,2303.4531642142856,27.142857142857142,28.571428571428573,38.57142857142857,5,0,24.285714285714292,TRUE,53,2026-05-08 21:25:59 UTC
p_830783,Ethan Eberle,LOU_CAR,Louisville,ACC,2026,Left,Unknown,441,41.688442229762366,51.688160248052334,30.536006959614088,83.96388442091339,42.65,57,89.46310655172414,91.58622,2.323666842105263,-3.97106,5.153786842105263,2114.6680886491235,33.333333333333336,29.62962962962963,59.64912280701754,6,0.5101106693712012,29.82456140350878,FALSE,40,2026-05-08 21:25:59 UTC
p_1000222086,Justin Kim,PRI_TIG,Princeton,Ivy,2025,Right,Unknown,442,41.5795532235151,37.39646101397066,38.49729668672977,90.04762350173655,42.65,71,88.93068937499999,90.48445,4.551380714285713,-3.3586068571428576,5.8050684285714285,2336.2163405,36.61971830985915,18.51851851851852,47.88732394366197,5,0,28.16901408450704,FALSE,51,2026-05-08 21:25:59 UTC
p_1000272538,Grant Edwards,NEW_PRI,New Mexico State,CUSA,2025,Right,Unknown,443,41.55858956188433,59.72661985144659,36.11519177378196,50.74451151324698,50.15,55,91.72286103448275,93.78577,6.220111818181818,6.87842090909091,5.840045090909091,1930.004032109091,29.09090909090909,18.75,34.54545454545455,5,0,16.363636363636374,TRUE,46,2026-05-08 21:25:59 UTC
