player_uid,player_name,season,exit_speed,angle,direction
h_1000281926,"Little, Joey",2026,90.93875,25.86358,-3.972742
h_835227,"Bonds, Peyton",2026,59.72514,36.804765,33.781941
h_703552,"Krewson, Chase",2026,70.1669,-5.078943,15.562306
h_814963,"Meglio, Charlie",2026,72.85367000000001,6.986513,-12.81696
h_695674,"Hughes, Treyson",2026,77.97801,29.568369,-2.833829
h_838742,"Grube, Sam",2026,100.82433,19.102848,6.800484
h_831089,"Wells, Trey",2026,94.4096,8.812162,19.661943
h_827330,"Carreras, Yomar",2026,79.90989,15.4773,0.818283
h_831482,"Ball, Ethan",2026,101.34442,31.398365,7.768654
h_838743,"Petrich, Owen",2026,97.09383,0.844816,-19.905138
h_811781,"Gates, Sam",2026,41.67022,61.600682,-37.139875
h_838741,"Daniel, Pete",2026,101.44506,16.425252,-27.047745
h_835227,"Bonds, Peyton",2026,74.54076,24.419511,-9.188329
h_814963,"Meglio, Charlie",2026,97.16999,32.489183,-5.095245
h_838742,"Grube, Sam",2026,101.7073,12.348801,13.994112
h_831482,"Ball, Ethan",2026,56.26137,8.244486,2.614249
h_827330,"Carreras, Yomar",2026,85.11026,29.845282,-3.174784
h_1000220194,"Perilli, Quinten",2026,84.57632000000001,-3.13444,2.777116
h_838743,"Petrich, Owen",2026,74.11309,-38.877312,12.689123
h_811781,"Gates, Sam",2026,90.31466,0.46799,26.473717
h_703550,"Jaros, Ryan",2026,67.11733000000001,28.850043,-14.136419
h_835227,"Bonds, Peyton",2026,71.45193,69.956839,29.436548
h_838742,"Grube, Sam",2026,76.47714,-9.189307,-3.026686
h_831482,"Ball, Ethan",2026,88.78246,-24.172147,32.259913
h_827330,"Carreras, Yomar",2026,85.13253,9.723284,-2.038697
h_836042,"Chatelle, Matthew",2026,99.36976,0.2544,-25.131576
h_838743,"Petrich, Owen",2026,101.75898000000001,10.215077,5.547563
h_838741,"Daniel, Pete",2026,79.88072,-84.957297,63.783081
h_835227,"Bonds, Peyton",2026,85.06648,-46.15036,-23.615542
h_703552,"Krewson, Chase",2026,98.33418,-0.972134,36.671619
h_814963,"Meglio, Charlie",2026,102.69642,7.226497,14.271995
h_822701,"Salinas, Tristan",2026,NA,NA,NA
h_838742,"Grube, Sam",2026,71.27039,24.455857,-8.194542
h_805714,"Cooke, Henry",2026,99.94414,2.316907,24.62863
h_703550,"Jaros, Ryan",2026,99.17762,13.250695,3.824553
h_835227,"Bonds, Peyton",2026,109.99901,-0.349445,-16.50458
h_831426,"Hurt, Willie",2026,95.76962,22.682728,21.446533
h_838742,"Grube, Sam",2026,97.5738,21.966026,-9.8134150000000009
h_838743,"Petrich, Owen",2026,98.44132,32.83453,-9.893635
h_831482,"Ball, Ethan",2026,94.89676,13.239054,25.506499
h_805714,"Cooke, Henry",2026,65.40798000000001,-7.760779,-32.770846
h_811781,"Gates, Sam",2026,79.95738,-20.071636,33.651344
h_1000182451,"Schmidly, Ike",2026,67.51267,-77.625948,157.96693
h_1000361026,"Moody, Reece",2026,96.22984,-0.913294,-25.831365
h_10121639,"Haesler, Keegan",2026,94.75293,17.364182,5.474746
h_824009,"Locurto, Nick",2026,NA,NA,NA
h_838742,"Grube, Sam",2026,99.57306,8.627387,29.251516
h_838743,"Petrich, Owen",2026,NA,NA,NA
h_831482,"Ball, Ethan",2026,83.5232,-11.46118,-37.315155
h_805714,"Cooke, Henry",2026,NA,NA,NA
h_1000114445,"Aycock, Cameron",2026,91.93356,22.757609,25.521445
h_10264381,"Gocio, Ryan",2026,NA,NA,NA
h_1000116120,"Guerrero, Jack",2026,92.38795,18.636938,8.724622
h_10281913,"Langley, Kyle",2026,72.08115000000001,-60.490952,-86.905373
h_838741,"Daniel, Pete",2026,68.98242,-15.000461,-21.849637
h_824567,"Lutterman, Hudson",2026,75.12574000000001,75.728278,30.965426
h_824009,"Locurto, Nick",2026,102.91778000000001,20.966685,-19.061186
h_1000182451,"Schmidly, Ike",2026,105.33929,6.123821,-7.570696
h_10121639,"Haesler, Keegan",2026,75.60947,7.928827,34.704197
h_1000134813,"Thompson, Clay",2026,82.14167,40.400158,19.834486
h_838743,"Petrich, Owen",2026,58.26137,-22.545971,30.6774
h_831482,"Ball, Ethan",2026,72.70872,25.6934,28.687611
h_805714,"Cooke, Henry",2026,97.90438,-39.171783,-39.075671
h_10264381,"Gocio, Ryan",2026,96.25061000000001,14.992386,8.267233
h_838741,"Daniel, Pete",2026,88.43472,27.236934,-30.582254
h_1000182451,"Schmidly, Ike",2026,77.75268,46.140659,-35.043003
h_1000361026,"Moody, Reece",2026,84.14299,-15.656058,-29.974934
h_838742,"Grube, Sam",2026,30.669099999999997,-12.996567,15.525327
h_838743,"Petrich, Owen",2026,83.38559000000001,46.214214,-24.603066
h_10264381,"Gocio, Ryan",2026,55.69657,-47.10904,17.825477
h_1000116120,"Guerrero, Jack",2026,NA,NA,NA
h_10281913,"Langley, Kyle",2026,102.69930000000001,6.447764,8.406077
h_10277040,"Seguin, Josiah",2026,90.73208,-0.140233,1.441131
h_1000182451,"Schmidly, Ike",2026,56.43553,17.257246,14.786223
h_703551,"Gibson, Ethan",2026,83.17459000000001,58.992977,-24.496852
h_838741,"Daniel, Pete",2026,69.97487000000001,-24.841188,-8.324128
h_824567,"Lutterman, Hudson",2026,96.18158,20.940937,-5.638049
h_1000134813,"Thompson, Clay",2026,105.21133,-54.118937,-85.466588
h_1000114445,"Aycock, Cameron",2026,78.27336,62.585532,-3.557805
h_10078856,"Barrow, Ben",2026,94.27216,21.047689,3.093916
h_1000116120,"Guerrero, Jack",2026,87.31947000000001,35.938378,-5.9385
h_838742,"Grube, Sam",2026,37.62509,-44.795894,50.857836
h_838743,"Petrich, Owen",2026,47.320280000000004,17.849433,22.359401
h_10281913,"Langley, Kyle",2026,87.59354,-26.066563,3.94383
h_10277040,"Seguin, Josiah",2026,NA,NA,NA
